id,drug,cyp2d6,CL_pop,Vd_pop,CL_sampled,Vd_sampled,CL_met_sampled,Vd_met_sampled
1,Paroxetine,poor,20.1,609,3.2249670641536206,507.8000341172209,NA,NA
2,Paroxetine,poor,20.1,609,2.2304826497515577,437.20595250575406,NA,NA
3,Paroxetine,normal,20.1,609,30.492170412466628,861.1279830256843,NA,NA
4,Paroxetine,normal,20.1,609,61.737639519085505,720.923239299302,NA,NA
5,Paroxetine,normal,20.1,609,25.53526725667225,628.2948567049237,NA,NA
6,Paroxetine,rapid,20.1,609,28.775099099678172,301.0332567062825,NA,NA
7,Paroxetine,poor,20.1,609,14.92890682902167,435.53179372521595,NA,NA
8,Paroxetine,normal,20.1,609,20.402746658304128,582.9214963561293,NA,NA
9,Paroxetine,normal,20.1,609,9.6150014245593,806.8656569433352,NA,NA
10,Paroxetine,normal,20.1,609,17.31764792151319,866.2405034991041,NA,NA
11,Paroxetine,rapid,20.1,609,23.35971017230015,450.3896071038068,NA,NA
12,Paroxetine,normal,20.1,609,19.130109898237496,438.9773275934336,NA,NA
13,Paroxetine,rapid,20.1,609,46.15410002252344,855.4005936007654,NA,NA
14,Paroxetine,normal,20.1,609,19.08701729438019,213.2684606910946,NA,NA
15,Paroxetine,normal,20.1,609,68.11897584674274,890.0407335070462,NA,NA
16,Paroxetine,normal,20.1,609,9.416816053285729,415.47044946643246,NA,NA
17,Paroxetine,rapid,20.1,609,38.96228445573645,261.848908702245,NA,NA
18,Paroxetine,normal,20.1,609,45.60653702822271,366.922250031883,NA,NA
19,Paroxetine,rapid,20.1,609,16.893081825714145,708.2499299250111,NA,NA
20,Paroxetine,normal,20.1,609,14.15933225993008,603.7361515173043,NA,NA
21,Paroxetine,normal,20.1,609,14.674961813538141,481.4376492457242,NA,NA
22,Paroxetine,normal,20.1,609,23.766966754172987,609.8972263054721,NA,NA
23,Paroxetine,normal,20.1,609,28.45425818899592,447.9781082030862,NA,NA
24,Paroxetine,normal,20.1,609,80.84521063058594,512.7491529162003,NA,NA
25,Paroxetine,normal,20.1,609,12.703973951850871,540.323762832441,NA,NA
26,Paroxetine,rapid,20.1,609,47.07110472265351,516.3491566795993,NA,NA
27,Paroxetine,normal,20.1,609,10.800933733610064,1152.9482024168979,NA,NA
28,Paroxetine,normal,20.1,609,19.29978884105406,827.018226171584,NA,NA
29,Paroxetine,poor,20.1,609,7.023263380421157,641.8927644731591,NA,NA
30,Paroxetine,normal,20.1,609,14.578848980566601,717.7276702231843,NA,NA
31,Paroxetine,normal,20.1,609,14.528979875744335,509.63610776739034,NA,NA
32,Paroxetine,normal,20.1,609,11.432257928628486,575.4816135848992,NA,NA
33,Paroxetine,normal,20.1,609,19.811435316943687,581.5139622307424,NA,NA
34,Paroxetine,normal,20.1,609,32.09632936383234,476.7853785759364,NA,NA
35,Paroxetine,poor,20.1,609,7.246913280484235,536.7930853730204,NA,NA
36,Paroxetine,normal,20.1,609,28.976308222460773,698.2268164210674,NA,NA
37,Paroxetine,normal,20.1,609,26.166485594339143,647.0101557067785,NA,NA
38,Paroxetine,normal,20.1,609,10.202134093252266,363.78290358331714,NA,NA
39,Paroxetine,normal,20.1,609,22.896689418004897,907.4525935461346,NA,NA
40,Paroxetine,normal,20.1,609,22.046463501621364,487.0232162816967,NA,NA
41,Paroxetine,normal,20.1,609,32.24704868996071,610.0092353051452,NA,NA
42,Paroxetine,poor,20.1,609,3.5951313255467543,813.145480979584,NA,NA
43,Paroxetine,normal,20.1,609,6.316904605040499,704.3307023989034,NA,NA
44,Paroxetine,poor,20.1,609,4.308353399920298,430.56641208872963,NA,NA
45,Paroxetine,normal,20.1,609,17.180982034560785,408.08242028898263,NA,NA
46,Paroxetine,normal,20.1,609,10.386499155989798,642.21893465797,NA,NA
47,Paroxetine,normal,20.1,609,19.618080890491896,501.3757272602731,NA,NA
48,Paroxetine,rapid,20.1,609,34.2582880654114,826.8049042507806,NA,NA
49,Paroxetine,normal,20.1,609,31.979095203061252,1097.994689373582,NA,NA
50,Paroxetine,normal,20.1,609,9.732988160135335,482.8733936577975,NA,NA
51,Paroxetine,poor,20.1,609,4.4075220131507065,576.0598340356128,NA,NA
52,Paroxetine,normal,20.1,609,15.637828971850748,668.68660692255,NA,NA
53,Paroxetine,normal,20.1,609,3.7094427018298135,492.61974117092416,NA,NA
54,Paroxetine,normal,20.1,609,23.343720529773275,861.496449090759,NA,NA
55,Paroxetine,normal,20.1,609,10.850323734796111,558.1241887589864,NA,NA
56,Paroxetine,normal,20.1,609,27.15955450522852,1293.269106790242,NA,NA
57,Paroxetine,normal,20.1,609,14.505893564491599,469.21621503195104,NA,NA
58,Paroxetine,normal,20.1,609,20.383510504097718,413.2984818510256,NA,NA
59,Paroxetine,normal,20.1,609,11.022897997913377,648.7072681570694,NA,NA
60,Paroxetine,normal,20.1,609,33.78414277527711,683.3657274820582,NA,NA
61,Paroxetine,normal,20.1,609,20.10309865277137,572.9926175221034,NA,NA
62,Paroxetine,rapid,20.1,609,30.774081439359993,576.2412595285459,NA,NA
63,Paroxetine,normal,20.1,609,4.8731261419931124,394.6578124946712,NA,NA
64,Paroxetine,rapid,20.1,609,38.91601280207729,211.51919963790294,NA,NA
65,Paroxetine,normal,20.1,609,6.9883214223050985,563.1002615709082,NA,NA
66,Paroxetine,normal,20.1,609,15.677292504584576,398.448522710645,NA,NA
67,Paroxetine,rapid,20.1,609,88.10135377584007,533.1450061543792,NA,NA
68,Paroxetine,normal,20.1,609,15.14622324024532,1121.2673314426052,NA,NA
69,Paroxetine,normal,20.1,609,26.523513654090767,580.5924557870801,NA,NA
70,Paroxetine,normal,20.1,609,27.08009955606311,548.841007707926,NA,NA
71,Paroxetine,normal,20.1,609,6.916541460750643,645.9952202200378,NA,NA
72,Paroxetine,normal,20.1,609,15.091979904256812,474.26105135099,NA,NA
73,Paroxetine,normal,20.1,609,11.55543636784726,495.38431056330336,NA,NA
74,Paroxetine,poor,20.1,609,7.612914700039953,1102.828133987699,NA,NA
75,Paroxetine,normal,20.1,609,14.893288292822024,428.1070261216682,NA,NA
76,Paroxetine,normal,20.1,609,54.06366757649981,585.9136458356625,NA,NA
77,Paroxetine,normal,20.1,609,23.508760920149065,570.1111555212146,NA,NA
78,Paroxetine,normal,20.1,609,15.94859054274387,765.5080925161038,NA,NA
79,Paroxetine,normal,20.1,609,13.485792588016063,1204.4606660350075,NA,NA
80,Paroxetine,normal,20.1,609,10.6880609869509,466.84434397894915,NA,NA
81,Paroxetine,poor,20.1,609,1.86436947469046,509.03974499122916,NA,NA
82,Paroxetine,poor,20.1,609,2.8268177015658535,337.40246416353324,NA,NA
83,Paroxetine,rapid,20.1,609,30.255792994533767,562.5947755002767,NA,NA
84,Paroxetine,normal,20.1,609,28.531453428764227,449.74438191463395,NA,NA
85,Paroxetine,normal,20.1,609,23.06814461969462,465.49919086481566,NA,NA
86,Paroxetine,normal,20.1,609,15.27923737580194,464.9627429357994,NA,NA
87,Paroxetine,normal,20.1,609,33.88468270790632,637.1443758652764,NA,NA
88,Paroxetine,rapid,20.1,609,8.342991737539501,488.377498005464,NA,NA
89,Paroxetine,normal,20.1,609,7.1711320640861596,514.9971634075681,NA,NA
90,Paroxetine,normal,20.1,609,18.284165863119775,350.49448102365426,NA,NA
91,Paroxetine,rapid,20.1,609,45.377220108836525,322.9611173207823,NA,NA
92,Paroxetine,poor,20.1,609,6.406482867031317,492.54003935971195,NA,NA
93,Paroxetine,rapid,20.1,609,12.73490879135446,429.5640462383263,NA,NA
94,Paroxetine,poor,20.1,609,6.986764073146518,639.6059030069781,NA,NA
95,Paroxetine,poor,20.1,609,3.6755997201923076,442.1524766323105,NA,NA
96,Paroxetine,normal,20.1,609,17.35792927269884,776.7871806669536,NA,NA
97,Paroxetine,poor,20.1,609,1.3336127822414319,455.55942817104454,NA,NA
98,Paroxetine,normal,20.1,609,15.892583354922047,829.1466047419808,NA,NA
99,Paroxetine,normal,20.1,609,13.921079271571875,362.1361548873709,NA,NA
100,Paroxetine,normal,20.1,609,16.07081486351002,952.3271143284875,NA,NA
